ID,Titolo,Generi,Punteggio,Stato
128953,Ankoku Kishi no Ore desu ga Saikyou no Paladin wo Mezashimasu,"Action, Fantasy, School",2,dropped
30079,Annarasumanara,"Drama, Mystery, Psychological, Romance, School, Seinen",9,completed
296,Anne Freaks,"Horror, Mystery, Psychological",5,completed
102256,Ao Ashi,"Award Winning, Seinen, Sports, Team Sports",0,plan_to_read
13492,Ao no Exorcist,"Action, Mythology, School, Shounen, Supernatural",0,plan_to_read
135545,Ao no Hako,"Romance, School, Shounen, Sports, Team Sports",0,plan_to_read
14154,Arakawa Under the Bridge,"Comedy, Romance, Seinen",4,completed
96528,Arifureta Shokugyou de Sekai Saikyou,"Action, Adventure, Fantasy, Harem, Isekai",4,dropped
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",0,plan_to_read
131084,Assassin's Creed Valhalla x Vinland Saga,"Action, Historical, Seinen",4,completed
153965,Auto Hunting With My Clones,"Action, Fantasy",6,dropped
141583,Ayashimon,"Action, Organized Crime, Shounen, Supernatural",5,completed
93350,Ayeshah's Secret,Drama,7,completed
85,Azumanga Daioh,"CGDCT, Comedy, School, Slice of Life",3,dropped
72299,Baki-dou,"Action, Gore, Martial Arts, Shounen",0,plan_to_read
115749,Baki-dou,"Action, Martial Arts, Shounen",0,plan_to_read
5157,Baki: New Grappler Baki,"Action, Combat Sports, Gore, Martial Arts, Shounen",0,plan_to_read
9711,Bakuman.,"Comedy, Drama, Otaku Culture, Romance, Shounen",0,plan_to_read
756,Banana Fish,"Action, Adventure, Delinquents, Drama, Organized Crime, Psychological, Shoujo, Suspense",0,plan_to_read
13568,Barairo no Kaibutsu,"Horror, Psychological, Seinen",5,completed
17051,Barakamon,"Childcare, Comedy, Iyashikei, Shounen, Slice of Life, Visual Arts",4,dropped
111213,Bastard,"Drama, Gore, Horror, Mystery, Psychological, Romance",8,completed
103701,Beastars,"Anthropomorphic, Award Winning, Drama, Psychological, Shounen, Slice of Life",9,completed
10010,Beelzebub,"Action, Childcare, Comedy, Delinquents, Mythology, School, Shounen, Supernatural",0,plan_to_read
2,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",10,dropped
92299,Berserk: Shinen no Kami 2,Seinen,0,completed
147662,Best Teacher Baek,"Action, Fantasy, Martial Arts, Reincarnation",7,reading
113835,Biao Ren,"Action, Drama, Historical",8,reading
11054,Billy Bat,"Detective, Drama, Historical, Mystery, Psychological, Seinen, Supernatural",0,plan_to_read
168969,Black and White Martial Emperor,"Action, Fantasy, Martial Arts",3,dropped
86337,Black Clover,"Action, Fantasy, Shounen",0,plan_to_read
735,Black Lagoon,"Action, Adult Cast, Drama, Military, Organized Crime, Seinen",0,plan_to_read
149,Blame!,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",6,completed
12,Bleach,"Action, Adventure, Award Winning, Shounen, Supernatural",0,plan_to_read
85719,Blue Giant,"Award Winning, Music, Seinen",7,completed
100922,Blue Giant Supreme,"Music, Seinen",0,plan_to_read
