ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
7776,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,"Action, Comedy, Sci-Fi, Super Power",8.24,392,632,currently_publishing,"Kazuma Kamachi, Motoi Fuyukawa"
128,Petshop of Horrors,"Comedy, Fantasy, Horror, Josei, Mystery, Supernatural",8.23,393,532,finished,Matsuri Akino
445,Shonan Junai Gumi!,"Action, Comedy, Delinquents, Drama, Romance, School, Shounen",8.23,394,834,finished,Tooru Fujisawa
915,Rookies,"Comedy, Delinquents, Drama, School, Shounen, Slice of Life, Sports, Team Sports",8.23,395,773,finished,Masanori Morita
10884,Diamond no Ace,"Award Winning, School, Shounen, Sports, Team Sports",8.23,397,770,finished,Yuuji Terajima
11593,Yuru Yuri,"CGDCT, Comedy, Gag Humor, Girls Love, School",8.23,398,1290,currently_publishing, Namori
92252,Koimonogatari,"Boys Love, Drama, School, Slice of Life",8.23,399,1342,currently_publishing,Tohru Tagura
103701,Beastars,"Anthropomorphic, Award Winning, Drama, Psychological, Shounen, Slice of Life",8.23,400,120,finished,Paru Itagaki
141833,Hikaru ga Shinda Natsu,"Horror, Mystery, Supernatural",8.23,403,325,currently_publishing, Mokumokuren
112091,Hidamari ga Kikoeru: Limit,"Boys Love, Slice of Life",8.23,405,2691,finished,Yuki Fumino
112115,Act-age,"Drama, Performing Arts, Shounen, Showbiz",8.23,406,327,discontinued,"Tatsuya Matsuki, Shiro Usazaki"
24308,No.6,"Action, Drama, Mystery, Sci-Fi, Shoujo",8.23,408,351,finished,"Atsuko Asano, Hinoki Kino"
26144,Danshi Koukousei no Nichijou,"Comedy, Gag Humor, School",8.23,409,731,finished,Yasunobu Yamauchi
47825,Steins;Gate: Aishin Meizu no Babel,"Adventure, Sci-Fi, Seinen",8.23,410,4446,finished," Nitroplus, Shinichirou Nariie"
62547,Yugami-kun ni wa Tomodachi ga Inai,"Comedy, School, Shounen, Slice of Life",8.22,411,626,finished,Jun Sakura
158,Ghost Hunt,"Drama, Horror, Mystery, Psychological, Romance, Shoujo, Supernatural",8.22,412,1225,finished,"Shiho Inada, Fuyumi Ono"
1075,7 Seeds,"Action, Adventure, Award Winning, Drama, Horror, Mystery, Psychological, Romance, Sci-Fi, Shoujo, Survival, Suspense",8.22,413,768,finished,Yumi Tamura
4571,Akagami no Shirayuki-hime,"Drama, Fantasy, Romance, Shoujo",8.22,414,230,currently_publishing,Sorata Akizuki
5651,Crows,"Action, Delinquents, School, Shounen",8.22,415,679,finished,Hiroshi Takahashi
